,Unnamed: 0,start_time,end_time,packet_size,word
0,0,1620100465,1620100472,116617,hey_alexa
1,1,1620100568,1620100584,110337,address
2,2,1620100792,1620100798,111083,hey_alexa
3,3,1620101050,1620101057,105614,action
4,4,1620101326,1620101333,113340,hey_alexa
5,5,1620102174,1620102181,113367,hey_alexa
6,6,1620102817,1620102824,111871,hey_alexa
7,7,1620102931,1620102938,105459,hey_alexa
8,8,1620104326,1620104334,113643,hey_alexa
9,9,1620104546,1620104553,101988,hey_alexa
10,10,1620104986,1620104993,115208,hey_alexa
11,11,1620105313,1620105320,112713,hey_alexa
12,12,1620105855,1620105863,114180,hey_alexa
13,13,1620106296,1620106303,114615,hey_alexa
14,14,1620106520,1620106526,101911,hey_alexa
15,15,1620106854,1620106861,115510,hey_alexa
16,16,1620107508,1620107515,113087,hey_alexa
17,17,1620107836,1620107842,111490,hey_alexa
18,18,1620107951,1620107959,113976,hey_alexa
19,19,1620108067,1620108074,104705,hey_alexa
20,20,1620108181,1620108188,108639,hey_alexa
21,21,1620108297,1620108304,100812,hey_alexa
22,22,1620108416,1620108423,105969,hey_alexa
23,23,1620108638,1620108648,118318,contrast
24,24,1620108756,1620108763,115458,hey_alexa
25,25,1620108980,1620108987,108195,hey_alexa
26,26,1620109312,1620109321,113098,hey_alexa
27,27,1620109432,1620109440,108571,hey_alexa
28,28,1620109658,1620109665,116251,hey_alexa
29,29,1620110097,1620110105,113592,hey_alexa
30,30,1620110432,1620110440,114642,hey_alexa
31,31,1620110979,1620110986,114929,hey_alexa
32,32,1620114362,1620114370,115134,hey_alexa
33,33,1620114922,1620114930,107166,hey_alexa
34,34,1620115149,1620115167,115718,hey_alexa
35,35,1620116250,1620116257,111887,hey_alexa
36,36,1620116479,1620116486,107747,hey_alexa
37,37,1620117472,1620117479,111962,hey_alexa
38,38,1620117496,1620117506,3101742,rational
39,39,1620117699,1620117706,116196,hey_alexa
40,40,1620117815,1620117823,106444,hey_alexa
41,41,1620117932,1620117938,104216,hey_alexa
42,42,1620118815,1620118822,114622,hey_alexa
43,43,1620119263,1620119270,111467,hey_alexa
44,44,1620119705,1620119713,112703,hey_alexa
45,45,1620119933,1620119941,107570,hey_alexa
46,46,1620120052,1620120059,111973,hey_alexa
47,47,1620120172,1620120178,112176,hey_alexa
48,48,1620120732,1620120739,123031,hey_alexa
49,49,1620120958,1620120965,107334,hey_alexa
50,50,1620121078,1620121085,112048,hey_alexa
51,51,1620121636,1620121643,112377,hey_alexa
