device,dataset,lang,tld,trial,ipaddress,word,duration
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.8411359786987305
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.921999931335449
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.00218939781189
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.841275453567505
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.082714080810547
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.921705961227417
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.921304225921631
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.680502891540527
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.082680940628052
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.921762704849243
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.163012504577637
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.841109037399292
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.163621425628662
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.921693563461304
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.921605110168457
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.323472738265991
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.243257999420166
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.680143356323242
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.082528114318848
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.680002212524414
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,1.7705936431884761
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,1.850900650024414
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.002202987670898
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.00215482711792
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.358264207839966
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.760680913925171
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.277857065200806
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.002480745315552
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.841286659240723
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.921795129776001
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.841337442398071
