word,status
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
action,alexa
ok_google,Audio could not be understood
hey_alexa,hey alexa
collection,Audio was not intended for Alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
flexible,Audio was not intended for Alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
lecture,Audio was not intended for Alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,Audio was not intended for Alexa
hey_alexa,Audio was not intended for Alexa
luxembourg,Audio was not intended for Alexa
hey_alexa,hey alexa
accessed,Audio was not intended for Alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,Audio was not intended for Alexa
hey_alexa,Audio was not intended for Alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
lexus,Audio was not intended for Alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,alexa
hey_alexa,hey alexa
hey_alexa,alexa
hey_alexa,hey alexa
hey_alexa,hey alexa
hey_alexa,Audio was not intended for Alexa
hey_alexa,hey alexa
