time,size
1620049222.610589,100
1620049222.624706,100
1620049222.637965,54
1620049223.526619,77
1620049223.562441,77
1620049223.570272,66
1620049251.658621,99
1620049251.676825,97
1620049251.695942,66
1620049252.610324,100
1620049252.617296,100
1620049252.631203,54
1620049252.731373,77
1620049252.733122,66
1620049254.516918,77
1620049254.556805,77
1620049254.558441,66
1620049269.281618,54
1620049282.610923,100
1620049282.620397,100
1620049282.633666,54
1620049285.445401,77
1620049285.477296,77
1620049285.480056,66
1620049292.489437,66
1620049292.535466,66
1620049312.611507,100
1620049312.623057,100
1620049312.643385,54
1620049316.388850,77
1620049316.427126,77
1620049316.447932,66
1620049333.682740,820
1620049333.724789,531
1620049333.738099,54
1620049333.844757,773
1620049333.874641,411
1620049333.900572,54
1620049340.697848,336
1620049340.701568,190
1620049340.705426,1514
1620049340.705426,1514
1620049340.706495,1514
1620049340.706495,1514
1620049340.706646,64
1620049340.710206,136
1620049340.712484,92
1620049340.713979,54
1620049340.721272,54
1620049340.721408,54
1620049340.721482,54
1620049340.721546,54
1620049340.728530,54
1620049340.728663,54
1620049340.989463,297
1620049340.989507,1116
1620049340.989530,842
1620049340.998449,96
1620049340.999422,92
1620049341.039055,54
1620049341.132926,92
1620049341.273522,66
1620049341.273522,66
1620049341.273522,74
1620049341.383098,842
1620049341.403530,54
1620049342.612033,100
1620049342.619336,54
1620049342.619336,100
1620049342.639469,54
1620049342.673259,99
1620049342.693068,97
1620049342.696015,66
1620049347.345914,77
1620049347.379523,77
1620049347.384132,66
1620049352.505889,66
1620049352.518742,66
1620049352.795759,98
1620049353.797439,98
1620049354.800978,98
1620049355.799372,98
1620049356.801280,98
1620049357.805660,98
1620049358.807091,98
1620049359.808535,98
1620049360.816296,98
1620049361.582925,100
1620049361.597061,54
1620049361.597102,100
1620049361.653645,54
1620049361.811492,98
1620049362.946557,89
1620049362.962202,153
1620049362.974325,74
1620049362.984428,74
1620049362.988157,66
1620049362.997219,256
1620049363.007142,66
1620049363.007275,530
1620049363.007360,99
1620049363.010268,66
1620049363.010268,66
1620049372.611826,100
1620049372.613723,54
1620049372.623135,100
1620049372.683695,54
1620049372.743746,77
1620049372.746804,66
1620049378.317842,77
1620049378.354666,77
1620049378.359963,66
1620049402.612379,100
1620049402.617926,100
1620049402.638883,54
1620049409.291269,77
1620049409.328977,77
1620049409.330770,66
1620049431.211106,336
1620049431.216229,190
1620049431.219026,1514
1620049431.219026,1514
1620049431.219072,1514
1620049431.219072,1410
1620049431.222054,134
1620049431.223837,54
1620049431.225417,197
1620049431.231298,54
1620049431.231729,1514
1620049431.231729,448
1620049431.231729,134
1620049431.238201,180
1620049431.239394,54
1620049431.239446,54
1620049431.239476,54
1620049431.239499,54
1620049431.239523,54
1620049431.246692,54
1620049431.246717,54
1620049431.253001,54
1620049431.447947,336
1620049431.453552,190
1620049431.456153,1514
1620049431.456153,1514
1620049431.456153,1514
1620049431.459014,1372
1620049431.459978,136
1620049431.462028,92
1620049431.463081,54
1620049431.470368,54
1620049431.470501,54
1620049431.478461,54
1620049431.478597,54
1620049431.478668,54
1620049431.507006,79
1620049431.517536,197
1620049431.517678,92
1620049431.522723,127
1620049431.529018,54
1620049431.566652,74
1620049431.580354,66
1620049431.604128,54
1620049431.604128,272
1620049431.617515,54
1620049431.618440,54
1620049431.618574,54
1620049431.619670,1514
1620049431.619770,1514
1620049431.619832,1514
1620049431.619887,1171
1620049431.630440,54
1620049431.630440,54
1620049431.630440,54
1620049431.630536,54
1620049431.644362,1514
1620049431.646047,1514
1620049431.646047,1514
1620049431.646131,1514
1620049431.646131,1514
1620049431.646131,952
1620049431.663138,54
1620049431.664003,54
1620049431.664028,54
1620049431.664043,96
1620049431.684967,1514
1620049431.684967,392
1620049431.688722,172
1620049431.698637,172
1620049431.700393,54
1620049431.705037,172
1620049431.713829,54
1620049431.745936,172
1620049431.755541,172
1620049431.763940,54
1620049431.778575,172
1620049431.793922,54
1620049431.795137,172
1620049431.799053,180
1620049431.812911,172
1620049431.816657,105
1620049431.818382,766
1620049431.832196,54
1620049431.832294,738
1620049431.832294,190
1620049431.835701,1514
1620049431.835701,1514
1620049431.835745,1514
1620049431.835745,1047
1620049431.839452,136
1620049431.839463,450
1620049431.841095,92
1620049431.842654,85
1620049431.842654,54
1620049431.846132,172
1620049431.847506,54
1620049431.852849,172
1620049431.854902,54
1620049431.854926,54
1620049431.854941,54
1620049431.861183,54
1620049431.866521,54
1620049431.869343,54
1620049431.870697,172
1620049431.901392,172
1620049431.917287,172
1620049431.919492,54
1620049431.919633,197
1620049431.919706,92
1620049431.940779,172
1620049431.948576,172
1620049431.956593,54
1620049431.992855,54
1620049431.992855,172
1620049431.999940,172
1620049432.003969,54
1620049432.009450,54
1620049432.016680,54
1620049432.022607,172
1620049432.038706,172
1620049432.039515,54
1620049432.053987,54
1620049432.062477,172
1620049432.073746,172
1620049432.076655,54
