time,size
1620104462.950770,74
1620104462.971985,74
1620104462.978145,66
1620104462.982698,360
1620104463.009748,66
1620104463.009889,149
1620104463.015628,66
1620104465.836865,164
1620104465.841687,164
1620104465.883910,54
1620104470.850462,164
1620104470.862799,164
1620104470.912944,54
1620104475.878546,164
1620104475.883987,164
1620104475.925439,54
1620104480.887207,164
1620104480.891732,164
1620104480.933702,54
1620104484.338629,79
1620104484.362061,95
1620104484.378636,1392
1620104484.411699,1392
1620104484.426350,75
1620104484.426350,1392
1620104484.426350,254
1620104484.447886,67
1620104484.471604,427
1620104484.471724,242
1620104484.480039,75
1620104485.397816,66
1620104485.425775,66
1620104485.906171,164
1620104485.909391,164
1620104485.952004,54
1620104490.915489,164
1620104490.922474,164
1620104490.962636,54
1620104495.931558,164
1620104495.935267,164
1620104495.977872,54
1620104496.316680,71
1620104496.598396,66
1620104496.619887,66
1620104500.939755,164
1620104500.947224,164
1620104501.002829,54
1620104505.959430,164
1620104505.964083,164
1620104506.005720,54
1620104508.115757,66
1620104508.139576,66
1620104510.975397,164
1620104510.982624,164
1620104511.037063,54
1620104513.423907,78
1620104513.423907,78
1620104515.412179,98
1620104515.984631,164
1620104515.990770,164
1620104516.046961,54
1620104516.448322,98
1620104517.446018,98
1620104518.489401,98
1620104519.486135,98
1620104520.487600,98
1620104520.997016,164
1620104521.004837,164
1620104521.057866,54
1620104521.487054,98
1620104522.487785,98
1620104523.030287,360
1620104523.052993,149
1620104523.059183,66
1620104523.485058,98
1620104524.490095,98
1620104525.462319,98
1620104525.482761,98
1620104526.007679,164
1620104526.011844,164
1620104526.054071,54
1620104526.486770,98
1620104526.509566,98
1620104526.516649,74
1620104526.541275,90
1620104526.547848,74
1620104526.577375,102
1620104530.517853,66
1620104530.535660,66
1620104531.016943,164
1620104531.026356,164
1620104531.077561,54
1620104536.031163,164
1620104536.037136,164
1620104536.092561,54
1620104538.772473,79
1620104538.794454,119
1620104538.815423,1392
1620104538.862425,1392
1620104538.872140,75
1620104538.872140,1392
1620104538.882020,1392
1620104538.882020,1392
1620104538.882020,1392
1620104538.882020,589
1620104538.904372,67
1620104538.907885,67
1620104538.925279,380
