time,size
1619818515.742871,77
1619818515.830067,77
1619818515.834074,66
1619818518.412839,77
1619818518.420265,66
1619818527.492998,100
1619818527.497611,100
1619818527.511193,54
1619818546.739983,77
1619818546.824256,77
1619818546.827989,66
1619818552.493568,100
1619818552.537988,54
1619818552.570915,54
1619818552.584501,54
1619818552.587490,54
1619818552.652643,85
1619818552.669433,136
1619818552.680300,74
1619818552.696338,66
1619818552.702453,54
1619818552.709842,178
1619818552.719089,54
1619818552.727311,54
1619818552.729303,1514
1619818552.729463,1514
1619818552.729567,1514
1619818552.729697,1514
1619818552.729792,573
1619818552.733991,54
1619818552.733991,54
1619818552.733991,54
1619818552.766217,54
1619818552.766217,54
1619818552.771723,573
1619818552.775783,66
1619818552.785400,180
1619818552.802674,105
1619818552.802724,98
1619818552.804299,54
1619818552.804299,54
1619818552.809005,122
1619818552.810059,92
1619818552.821369,776
1619818552.824528,54
1619818552.824560,92
1619818552.827107,190
1619818552.827107,132
1619818552.830061,190
1619818552.832782,247
1619818552.835794,132
1619818552.838884,190
1619818552.838947,54
1619818552.842397,132
1619818552.844726,190
1619818552.846899,132
1619818552.847314,54
1619818552.849167,190
1619818552.854357,54
1619818552.854382,54
1619818552.854630,136
1619818552.854630,92
1619818552.861690,54
1619818552.869878,54
1619818552.869908,98
1619818552.873585,272
1619818552.878052,92
1619818552.938091,54
1619818552.941687,54
1619818568.863021,100
1619818568.872040,54
1619818568.872040,100
1619818568.884713,54
1619818577.726391,77
1619818577.808591,77
1619818577.815037,66
1619818598.863614,100
1619818598.870139,100
1619818598.882666,54
1619818601.796236,99
1619818601.812733,97
1619818601.816777,66
1619818608.739149,77
1619818608.821985,77
1619818608.831514,66
1619818628.864246,100
1619818628.869807,100
1619818628.888804,54
1619818638.427075,77
1619818638.429698,66
1619818639.742978,77
1619818639.830811,77
1619818639.853814,66
1619818658.864796,100
1619818658.870219,100
1619818658.889412,54
1619818670.744002,77
1619818670.825005,77
1619818670.862896,66
1619818688.865403,100
1619818688.870760,100
1619818688.888117,54
1619818692.797477,99
1619818692.810973,97
1619818692.813730,66
1619818701.765866,77
1619818701.846498,77
1619818701.881696,66
1619818703.491241,66
1619818703.561695,66
1619818718.865141,100
1619818718.871073,100
1619818718.884200,54
1619818732.733573,77
1619818732.821701,77
1619818732.826833,66
1619818748.865765,100
1619818748.874553,100
1619818748.889340,54
1619818757.489412,100
1619818757.503134,54
1619818757.503193,100
1619818757.544754,54
1619818758.440420,77
1619818758.444189,66
1619818763.496816,66
1619818763.507761,66
1619818763.608545,98
1619818763.734656,77
1619818763.821522,77
1619818763.835987,66
1619818764.632163,98
1619818765.609984,98
1619818766.611799,98
1619818767.614256,98
1619818768.614889,98
1619818769.633546,98
1619818770.618667,98
1619818771.619602,98
1619818772.619720,98
1619818773.624958,89
1619818773.642280,153
1619818773.651316,74
1619818773.664442,74
1619818773.667448,66
1619818773.668643,256
1619818773.679892,66
1619818773.680033,529
1619818773.680118,99
1619818773.685879,66
1619818773.685879,66
1619818778.866368,100
1619818778.869481,54
1619818778.873448,100
1619818778.935534,54
1619818783.799810,99
1619818783.820991,97
1619818783.823637,66
1619818794.729517,77
1619818794.813043,77
1619818794.818793,66
1619818808.866865,100
1619818808.873812,100
1619818808.893325,54
1619818825.722359,77
1619818825.805464,77
1619818825.807177,66
1619818838.866631,100
1619818838.873933,100
1619818838.892008,54
1619818856.710969,77
1619818856.796929,77
1619818856.799248,66
1619818860.602972,88
1619818860.616595,104
1619818860.622401,74
1619818860.637165,66
1619818860.639290,54
1619818860.641072,281
1619818860.652585,54
1619818860.660088,54
1619818860.660269,150
1619818860.660376,1514
1619818860.660455,1514
1619818860.660526,1148
1619818860.661634,392
1619818860.661762,63
1619818860.668425,54
1619818860.668425,54
1619818860.668615,54
1619818860.668615,54
1619818860.668615,54
1619818860.668615,54
1619818860.726007,180
1619818860.743515,54
1619818860.743551,60
1619818860.743566,99
1619818860.748325,54
1619818860.748325,54
1619818860.748358,1514
1619818860.748358,1514
1619818860.748358,1514
1619818860.748358,1514
1619818860.749441,1514
