time,size
1620073266.017204,54
1620073266.031331,172
1620073266.047668,172
1620073266.054710,172
1620073266.062675,54
1620073266.063951,172
1620073266.077164,54
1620073266.113587,172
1620073266.120408,172
1620073266.128494,172
1620073266.138070,54
1620073266.161534,172
1620073266.175419,54
1620073266.212838,172
1620073266.212838,172
1620073266.212838,172
1620073266.227698,172
1620073266.228932,54
1620073266.258533,172
1620073266.273680,54
1620073266.274642,172
1620073266.282663,172
1620073266.296342,54
1620073266.307651,172
1620073266.340029,172
1620073266.356345,54
1620073266.358068,172
1620073266.380993,172
1620073266.390585,172
1620073266.401865,54
1620073266.429660,172
1620073266.440198,172
1620073266.446352,54
1620073266.454511,172
1620073266.468983,54
1620073266.472938,172
1620073266.512698,172
1620073266.521455,172
1620073266.528970,54
1620073266.536288,172
1620073266.551880,54
1620073266.552628,172
1620073266.592993,172
1620073266.604130,172
1620073266.610939,54
1620073266.611847,54
1620073266.619931,54
1620073266.629259,172
1620073266.637570,172
1620073266.649935,54
1620073266.657246,54
1620073266.666470,172
1620073266.679910,54
1620073266.681521,172
1620073266.695404,54
1620073266.698525,172
1620073266.714762,172
1620073266.717209,54
1620073266.732702,54
1620073266.747504,172
1620073266.758866,172
1620073266.762730,54
1620073266.771057,172
1620073266.778154,54
1620073266.785458,54
1620073266.803107,172
1620073266.820585,172
1620073266.822730,54
1620073266.838204,54
1620073266.854051,172
1620073266.863137,172
1620073266.868270,54
1620073266.869869,172
1620073266.882742,54
1620073266.883613,54
1620073266.925569,172
1620073266.926681,172
1620073266.934301,172
1620073266.943591,54
1620073266.950309,172
1620073266.950874,54
1620073266.966343,54
1620073266.992529,172
1620073267.008170,172
1620073267.010913,54
1620073267.016347,66
1620073267.017834,172
1620073267.021206,54
1620073267.026252,54
1620073267.033581,54
1620073267.041394,172
1620073267.056373,54
1620073267.065029,172
1620073267.079056,54
1620073267.091510,172
1620073267.103348,172
1620073267.109001,54
1620073267.116346,54
1620073267.135593,172
1620073267.138058,172
1620073267.154517,54
1620073267.162316,172
1620073267.176405,54
1620073267.178037,172
1620073267.189234,172
1620073267.191808,54
1620073267.207174,54
1620073267.211180,172
1620073267.229862,54
1620073267.236859,172
1620073267.251806,54
1620073267.260682,172
1620073267.269608,172
1620073267.274459,54
1620073267.289943,54
1620073267.309726,172
1620073267.321522,172
1620073267.327249,54
1620073267.334415,172
1620073267.335620,54
1620073267.341982,172
1620073267.349917,54
1620073267.357259,54
1620073267.395802,172
1620073267.399251,172
1620073267.409935,54
1620073267.418044,54
1620073267.436884,172
1620073267.436884,172
1620073267.455465,54
1620073267.455645,54
1620073267.474418,172
1620073267.480391,172
1620073267.492783,54
1620073267.493676,54
1620073267.496389,172
1620073267.515467,54
1620073267.521245,172
1620073267.538337,54
1620073267.554188,172
1620073267.562829,172
1620073267.568173,54
1620073267.583668,54
1620073267.588778,172
1620073267.598288,172
1620073267.606379,54
1620073267.613662,54
1620073267.618853,172
1620073267.636375,54
1620073267.643264,172
1620073267.659009,54
1620073267.663063,172
1620073267.681265,54
1620073267.691962,172
1620073267.710874,54
1620073267.737923,172
1620073267.737923,172
1620073267.740734,172
1620073267.751244,172
1620073267.757278,54
1620073267.763672,54
1620073267.764584,96
1620073267.789463,172
1620073267.805480,172
1620073267.822183,172
1620073267.824587,54
1620073267.840994,172
1620073267.854580,54
1620073267.870768,172
1620073267.887331,172
1620073267.907231,54
1620073267.907491,172
1620073267.921008,172
1620073267.937261,54
1620073267.953260,172
1620073267.960393,172
1620073267.975459,54
1620073267.976353,172
1620073268.001814,172
1620073268.019940,54
1620073268.030593,172
1620073268.041565,172
1620073268.051071,172
1620073268.057280,54
1620073268.074226,172
1620073268.088176,54
1620073268.111930,172
1620073268.152016,172
1620073268.152016,172
1620073268.152016,172
1620073268.170954,54
1620073268.171108,54
1620073268.187948,172
1620073268.206331,172
1620073268.220422,172
1620073268.223711,54
1620073268.236519,172
1620073268.253679,54
1620073268.269987,172
1620073268.285398,172
1620073268.294866,172
1620073268.298983,54
1620073268.318056,172
1620073268.337308,54
1620073268.363172,172
1620073268.363172,172
1620073268.366413,172
1620073268.381877,54
1620073268.399198,172
1620073268.431981,172
1620073268.448939,172
1620073268.448992,54
1620073268.465160,172
1620073268.473489,172
1620073268.479024,54
1620073268.498335,172
1620073268.517193,54
1620073268.521057,172
1620073268.539028,172
1620073268.554610,54
1620073268.571460,172
1620073268.571460,172
1620073268.585485,54
1620073268.603015,172
1620073268.623127,172
1620073268.637271,54
1620073268.676908,172
1620073268.676908,172
1620073268.684955,172
1620073268.689880,54
1620073268.691422,172
1620073268.705431,54
1620073268.716796,172
1620073268.750238,172
1620073268.765504,54
1620073268.766530,172
1620073268.777159,172
1620073268.795446,54
1620073268.799198,172
1620073268.818597,172
1620073268.833693,54
1620073268.847380,172
1620073268.866732,172
1620073268.871209,172
1620073268.886404,54
1620073268.912587,172
1620073268.969689,172
1620073268.969689,172
1620073268.969689,172
1620073268.977258,172
1620073268.979989,54
1620073268.984608,54
1620073268.991882,54
1620073269.001077,172
1620073269.014765,54
1620073269.017888,172
1620073269.034599,172
1620073269.036369,54
1620073269.051918,54
1620073269.058334,172
1620073269.074617,54
1620073269.075860,172
1620073269.082038,172
1620073269.088952,54
1620073269.097182,54
1620073269.107010,172
1620073269.119942,54
1620073269.139862,172
1620073269.157394,54
1620073269.171859,172
1620073269.173433,172
1620073269.187276,54
1620073269.198615,172
1620073269.218213,54
1620073269.221537,172
1620073269.239856,54
1620073269.247460,172
1620073269.261595,172
1620073269.262784,54
1620073269.277239,54
1620073269.288067,172
1620073269.302400,172
1620073269.307286,54
1620073269.315499,54
1620073269.327464,172
1620073269.334724,172
1620073269.345468,54
1620073269.352798,54
1620073269.354982,172
1620073269.368204,54
1620073269.413269,172
1620073269.413269,172
1620073269.419990,172
1620073269.428190,54
1620073269.435505,54
1620073269.444036,172
1620073269.458206,54
1620073269.467123,172
1620073269.480938,54
1620073269.484105,172
1620073269.497761,172
1620073269.503703,54
1620073269.510935,54
1620073269.514081,172
1620073269.533658,54
1620073269.546849,172
1620073269.554819,172
1620073269.562433,172
1620073269.563573,54
1620073269.570869,54
1620073269.579055,54
1620073269.587553,172
1620073269.601915,54
1620073269.628373,172
1620073269.646405,54
1620073269.646537,172
1620073269.661825,54
1620073269.666258,172
1620073269.681036,172
1620073269.683685,54
1620073269.699115,54
1620073269.702341,172
1620073269.708941,172
1620073269.721892,54
1620073269.721940,54
1620073269.742303,172
1620073269.759049,54
1620073269.761630,172
1620073269.774605,54
1620073269.791237,172
1620073269.805441,54
1620073269.807067,172
1620073269.819908,54
1620073269.824088,172
