time,size
1620137612.763886,152
1620137612.773790,74
1620137612.785180,74
1620137612.790854,66
1620137612.795621,261
1620137612.807733,66
1620137612.808820,1494
1620137612.808849,1494
1620137612.810626,1494
1620137612.810653,175
1620137612.810879,66
1620137612.810879,66
1620137612.813166,66
1620137612.813166,66
1620137613.032905,192
1620137613.041568,66
1620137613.042403,236
1620137613.043155,283
1620137613.044430,66
1620137613.056903,66
1620137613.057864,800
1620137613.063404,66
1620137626.453824,99
1620137626.474375,97
1620137626.500560,66
1620137638.422829,77
1620137638.462929,77
1620137638.473291,66
1620137641.957532,100
1620137641.969656,100
1620137641.985655,54
1620137668.434690,77
1620137668.473513,77
1620137668.475292,66
1620137671.958042,100
1620137671.978529,100
1620137671.992632,54
1620137699.434825,77
1620137699.474970,77
1620137699.477761,66
1620137700.676931,77
1620137700.679076,66
1620137701.958680,100
1620137701.984140,100
1620137702.003325,54
1620137717.456186,99
1620137717.471778,97
1620137717.473619,66
1620137730.361578,77
1620137730.403897,77
1620137730.405542,66
1620137731.959194,100
1620137731.967942,100
1620137731.983881,54
1620137741.731292,54
1620137751.676133,66
1620137751.727400,66
1620137761.314154,77
1620137761.346306,77
1620137761.351145,66
1620137761.958963,100
1620137761.965628,100
1620137761.982725,54
1620137791.959574,100
1620137791.967059,100
1620137791.986024,54
1620137792.301858,77
1620137792.336924,77
1620137792.375048,66
1620137808.460968,99
1620137808.480833,97
1620137808.482610,66
1620137811.697274,66
1620137811.707348,66
1620137811.967321,98
1620137812.966032,98
1620137813.973896,98
1620137814.970054,98
1620137815.969785,98
1620137816.977178,98
1620137817.974414,98
1620137818.976690,98
1620137819.978184,98
1620137820.681944,77
1620137820.684798,66
1620137820.978640,98
1620137821.960180,100
1620137821.970563,100
1620137821.983991,54
1620137821.997449,89
1620137822.016124,153
1620137822.022672,74
1620137822.031186,74
1620137822.054497,66
1620137822.063036,256
1620137822.075795,66
1620137822.076709,530
1620137822.076845,99
1620137822.079986,66
1620137822.079986,66
1620137823.268885,77
1620137823.305989,77
1620137823.341760,66
1620137850.638992,112
1620137850.639152,97
1620137850.639253,66
1620137850.645056,66
1620137850.645056,66
1620137850.678243,66
1620137850.685066,97
1620137850.691036,66
1620137850.695392,54
1620137851.960760,100
